VC,C1R1,C1R2,C1R3,C2R1,C2R2,C2R3,C3R1,C3R2,C3R3
1,909.27,915.12,914.06,550.2,554.92,553.6,1164.14,1161.72,1143.81
4,1158.27,1175.26,1171.1,755.86,764.45,766,1407.88,1425.68,1421.92
8,1253.57,1302.7,1273.17,876.11,883.84,861.55,1504.48,1486.84,1487.39
16,1289.82,1265.77,1291.76,907.16,906.52,908.47,1432.75,1455.63,1455.25
24,1301.76,1303.26,1287.2,906.78,917.66,911.34,1390.78,1427.97,1430.38
32,1295.29,1292.9,1306.57,946.64,946.15,936.5,1386.46,1416.12,1425.31
40,1286.15,1281.34,1293.59,927.07,918.13,927.2,1387.54,1338.33,1395.41
