VC,C1R1,C1R2,C1R3,C2R1,C2R2,C2R3,C3R1,C3R2,C3R3,BJMEAN,BJSTDEV,R1,R2,R3
1,2.19,2.176,2.178,3.627,3.596,3.604,1.709,1.712,1.739,2.2779985853,0.0087807984,2.2770943515,2.2697048922,2.2871965121
4,6.899,6.799,6.823,10.576,10.457,10.436,5.673,5.602,5.617,7.1578058158,0.0503609999,7.215426703,7.1222052818,7.1357854625
8,12.588,12.441,12.73,18.255,18.096,18.563,10.77,10.61,10.893,13.213563251,0.1648153865,13.2117406723,13.049666712,13.3792823687
16,24.803,24.941,24.765,35.744,35.293,35.217,22.326,21.975,21.98,26.3709497589,0.1419510995,26.5286578189,26.3307769969,26.2534144607
24,37.092,36.824,37.283,52.928,52.299,52.663,34.05,33.606,33.549,39.6704514096,0.2128311134,39.8818655057,39.4562310315,39.6732576916
32,49.399,49.493,48.974,67.598,67.63,67.434,46.152,45.184,44.895,52.5259796914,0.3763788759,52.9061384039,52.5183025643,52.153498106
40,62.19,62.43,61.83,86.283,87.127,86.272,57.648,59.766,57.323,66.9438552117,0.7816770408,66.6427053488,67.8313158644,66.3575444219
