VC,Inst1R1,Inst1R2,Inst1R3,Inst2R1,Inst2R2,InstR3
1,1179.65,1193.45,1239.58,969.45,1004.14,1010.8
4,3284.7,3270.62,3267.4,3016.77,3035.19,3012.34
8,4486.36,4486.99,4542.07,4371.75,4356.71,4442.35
16,5604.33,5651.96,5552.24,5662.86,5541.84,5605.36
24,6011.63,6222.96,6220.45,6037.67,6024.21,6141.25
32,6840.4,6458.27,6450.65,6422.5,6449.44,6455.7
40,6706.44,6634.7,6637.09,6643.8,6595.65,6640.32
