VC,Inst1R1,Inst1R2,Inst1R3,Inst2R1,Inst2R2,InstR3,BJMEAN,BJSTDEV,R1,R2,R3
1,0.993,0.988,1.004,1.172,1.208,1.212,1.0867728206,0.0115704089,1.0751002309,1.0869799636,1.0982382671
4,1.681,1.696,1.703,1.789,1.831,1.859,1.7572732032,0.0223560703,1.7333193084,1.7609163595,1.7775839416
8,2.698,2.706,2.639,2.767,2.735,2.774,2.7191012263,0.0136719121,2.7320644099,2.7204227164,2.7048165527
16,4.947,4.956,5.009,5.036,5.081,5.044,5.0117546595,0.0184081014,4.9911032756,5.01772163,5.0264390729
24,7.316,7.338,7.246,7.335,7.265,7.31,7.3015548398,0.0238150757,7.32548768,7.3013175375,7.277859302
32,9.316,9.38,9.296,9.486,9.621,9.474,9.4277863638,0.0621700258,9.4002314647,9.4989716331,9.3841559936
40,11.342,11.432,11.6,11.758,11.658,11.663,11.5738542907,0.0498627374,11.5462541991,11.5438939801,11.6314146929
